,Study,Intervention,Month,Obs_mean_eff,Pred_mean_eff,Obs_upp_eff,Obs_low_eff,Pred_upp_eff,Pred_low_eff
1,Curtis,ITN,2,-0.008393285,0.043786483,-0.008393285,-0.008393285,0.058716485,0.028769993
2,Curtis,ITN,5,0.071512309,0.055045085,0.071512309,0.071512309,0.07196621,0.039682838
3,Curtis,ITN,8,0.101591187,0.119916305,0.101591187,0.101591187,0.141553762,0.099065122
4,Curtis,ITN,11,0.106666667,0.131970743,0.106666667,0.106666667,0.153529204,0.109204619
5,Curtis,IRS,2,0.086330935,0.218760478,0.086330935,0.086330935,0.240086396,0.199181168
6,Curtis,IRS,5,0.060961313,0.257328737,0.060961313,0.060961313,0.296129203,0.222226758
7,Curtis,IRS,8,0.106487148,0.359306731,0.106487148,0.106487148,0.39953311,0.321380938
8,Curtis,IRS,11,0.056296296,0.541203463,0.056296296,0.056296296,0.577605378,0.506398705
9,D'Alessandro,ITN,1,0.231607629,0.436532423,0.231607629,0.231607629,0.392362619,0.472355296
10,D'Alessandro,ITN,1,0.309090909,0.500406911,0.309090909,0.309090909,0.45482128,0.541480597
11,D'Alessandro,ITN,1,0.38372093,0.530538786,0.38372093,0.38372093,0.496205039,0.56714727
12,D'Alessandro,ITN,1,0.191369606,0.228215334,0.191369606,0.191369606,0.194112604,0.260605946
13,D'Alessandro,ITN,1,-0.58836689,0.154952121,-0.58836689,-0.58836689,0.128525636,0.183428945
14,Henry,ITN,48,0.047619048,-0.0223659,0.122619048,-0.035714286,-0.038740018,-0.006596182
15,Henry,ITN,48,0.173722628,0.420377584,0.226277372,0.121167883,0.386429638,0.45334191
16,Kafy,ITN_IRS,21,0.2,-0.020943439,0,0.6,-0.368718964,0.266734793
17,Kafy,ITN_IRS,33,0.4,0.381058436,0.2,0.8,0.015261983,0.646321481
18,Marbiah,ITN,15,0.275210084,0.20307416,0.275210084,0.275210084,0.177477563,0.228803056
19,Philips-Howard,ITN,22,0.36770428,0.426589346,0.36770428,0.36770428,0.47889163,NA
20,Philips-Howard,ITN,40,0.135549872,0.177703004,0.135549872,0.135549872,0.29692944,NA
21,Protopopoff,PBO_ITN,4,0.174774775,0.192832224,0.174774775,0.174774775,0.124693484,0.288359415
22,Protopopoff,PBO_ITN,9,0.43761302,0.201304531,0.43761302,0.43761302,0.120405388,0.314978137
23,Protopopoff,PBO_ITN,16,0.343396226,0.064142231,0.343396226,0.343396226,0.022478645,0.129502395
24,Protopopoff,PBO_ITN,21,0.325,0.085581027,0.325,0.325,0.026288844,0.170325991
27,Protopopoff,ITN_IRS,4,0.304504505,0.300228189,0.304504505,0.304504505,0.269975866,0.333009788
28,Protopopoff,ITN_IRS,9,0.522603978,0.536848202,0.522603978,0.522603978,0.495154886,0.577108708
29,Protopopoff,ITN_IRS,16,0.247169811,0.080301329,0.247169811,0.247169811,0.047615346,0.119761835
30,Protopopoff,ITN_IRS,21,0.189705882,0.034279364,0.189705882,0.189705882,-0.005648013,0.080989741
33,Protopopoff,PBO_ITN_IRS,4,0.324324324,0.449034447,0.324324324,0.324324324,0.388044227,0.541314326
34,Protopopoff,PBO_ITN_IRS,9,0.482820976,0.664951683,0.482820976,0.482820976,0.607666877,0.736897915
35,Protopopoff,PBO_ITN_IRS,16,0.450943396,0.25234523,0.450943396,0.450943396,0.152674575,0.428056447
36,Protopopoff,PBO_ITN_IRS,21,0.357352941,0.199986309,0.357352941,0.357352941,0.109537776,0.34934603
39,West,ITN_IRS,11,0.408695652,0.441708305,0.054795084,0.50342983,0.374004527,0.511640445
40,West,ITN_IRS,15,0.576666667,0.593504585,0.282041479,0.708237491,0.534386105,0.65198095
41,West,ITN_IRS,19,0.441666667,0.414095222,0.022629597,0.629857113,0.330017312,0.502874713
42,Chaccour,ITN_IRS,17,0.209302326,0.429584297,0.209302326,0.209302326,0.300307983,0.632385004
43,Staedke,PBO_ITN,12,0.262068966,0.243434554,0.262068966,0.262068966,0.096063694,0.39903343
44,Staedke,PBO_ITN,18,0.184615385,0.270942204,0.184615385,0.184615385,0.11001968,0.435178121
45,Staedke,PBO_ITN,24,0.157142857,0.163056057,0.157142857,0.157142857,-0.000276322,0.344424283
46,Nevill,ITN,20,0.571428571,0.429584297,0.571428571,0.571428571,0.300307983,0.632385004
47,Nevill,ITN,24,0.527559055,0.430167954,0.527559055,0.527559055,0.306751377,0.63826064
48,Nevill,ITN,27,0.32173913,0.439681602,0.32173913,0.32173913,0.306166444,0.656426997
49,Bradley,IRS,3,0.048913043,-0.026369649,-0.320652174,0.331521739,-0.191434725,0.153454379
50,Bradley,IRS,3,0.275862069,-0.101170881,-0.064655172,0.521551724,-0.283517613,0.090823811
