"","PI","Intervention","MONTH_prev_observed","Obs_eff_mean","Obs_eff_min","Obs_eff_max","Pred_3_eff","Pred_3_eff_min","Pred_3_eff_max"
"1","Curtis","ITN",2,-0.00839328537170265,-0.00839328537170265,-0.00839328537170265,0.0438068683022797,0.0597492013815395,0.0290986775538967
"2","Curtis","ITN",5,0.0715123094958968,0.0715123094958968,0.0715123094958968,0.0554599147500006,0.0721917468468928,0.0387417904931419
"3","Curtis","ITN",8,0.101591187270502,0.101591187270502,0.101591187270502,0.119258094653996,0.141526475643287,0.0980240074422273
"4","Curtis","ITN",11,0.106666666666667,0.106666666666667,0.106666666666667,0.131874567128209,0.155353251535815,0.109705024660006
"5","Curtis","IRS",2,0.0863309352517985,0.0863309352517985,0.0863309352517985,0.219750681777307,0.240496195627572,0.199000029363222
"6","Curtis","IRS",5,0.0609613130128956,0.0609613130128956,0.0609613130128956,0.257999786023961,0.294571786529722,0.222155851150486
"7","Curtis","IRS",8,0.106487148102815,0.106487148102815,0.106487148102815,0.360018405794496,0.399125891239335,0.321935391932216
"8","Curtis","IRS",11,0.0562962962962963,0.0562962962962963,0.0562962962962963,0.541948913151607,0.578111374509881,0.507034342569809
"9","D'Alessandro","ITN",1,0.231607629427793,0.231607629427793,0.231607629427793,0.408593505739426,0.371308257994341,0.448794838852062
"10","D'Alessandro","ITN",1,0.309090909090909,0.309090909090909,0.309090909090909,0.475908523175954,0.429996759487936,0.516323057029866
"11","D'Alessandro","ITN",1,0.383720930232558,0.383720930232558,0.383720930232558,0.5093354092961,0.47301209864934,0.544621894727106
"12","D'Alessandro","ITN",1,0.191369606003752,0.191369606003752,0.191369606003752,0.208429517095319,0.176532888919718,0.24284888912694
"13","D'Alessandro","ITN",1,-0.588366890380313,-0.588366890380313,-0.588366890380313,0.13915588297273,0.113749944450895,0.164085138500045
"14","Henry","ITN",48,0.0476190476190475,0.122619047619048,-0.0357142857142857,-0.0223311536508575,-0.038371169509992,-0.00634972426732133
"15","Henry","ITN",48,0.173722627737226,0.226277372262774,0.121167883211679,0.420932626639054,0.384659196115246,0.450557384363283
"16","Kafy","ITN_IRS",21,0.2,0,0.6,-0.0480281401865265,-0.416501567670664,0.255597426520532
"17","Kafy","ITN_IRS",33,0.4,0.2,0.8,0.367504434675305,-0.0379723893259291,0.6587914545735
"18","Marbiah","ITN",15,0.275210084033613,0.275210084033613,0.275210084033613,0.18684104978414,0.162846064515069,0.213390684382931
"19","Philips-Howard","ITN",22,0.367704280155642,0.367704280155642,0.367704280155642,0.365588646785753,0.419521002383253,NA
"20","Philips-Howard","ITN",40,0.135549872122762,0.135549872122762,0.135549872122762,0.141855682705577,0.245490300388182,NA
"21","Protopopoff","PBO_ITN",4,0.174774774774775,0.174774774774775,0.174774774774775,0.270331905249221,0.194226775690885,0.362698057248928
"22","Protopopoff","PBO_ITN",9,0.437613019891501,0.437613019891501,0.437613019891501,0.307624425244542,0.204264425918927,0.426040465777013
"23","Protopopoff","PBO_ITN",16,0.343396226415094,0.343396226415094,0.343396226415094,0.0998883344446932,0.0420442746923805,0.185692156861178
"24","Protopopoff","PBO_ITN",21,0.325,0.325,0.325,0.1164710653122,0.0429546418617062,0.21301138271836
"25","Protopopoff","ITN_IRS",4,0.304504504504505,0.304504504504505,0.304504504504505,0.289970709774397,0.255597313781326,0.325119201704942
"26","Protopopoff","ITN_IRS",9,0.522603978300181,0.522603978300181,0.522603978300181,0.522426772878337,0.479261618518006,0.564464628390341
"27","Protopopoff","ITN_IRS",16,0.247169811320755,0.247169811320755,0.247169811320755,0.0890311172980877,0.0495477304262025,0.136018244673599
"28","Protopopoff","ITN_IRS",21,0.189705882352941,0.189705882352941,0.189705882352941,0.0340009592834737,-0.0125351660106498,0.0838111765423758
"29","Protopopoff","PBO_ITN_IRS",4,0.324324324324324,0.324324324324324,0.324324324324324,0.449857765705074,0.388202036973849,0.538732822317901
"30","Protopopoff","PBO_ITN_IRS",9,0.482820976491863,0.482820976491863,0.482820976491863,0.663670696425353,0.60599647294974,0.73165792182862
"31","Protopopoff","PBO_ITN_IRS",16,0.450943396226415,0.450943396226415,0.450943396226415,0.322734713294362,0.202149892102811,0.503664356441588
"32","Protopopoff","PBO_ITN_IRS",21,0.357352941176471,0.357352941176471,0.357352941176471,0.24296265348079,0.137709650609618,0.407554779671099
