ID,PI,control_arm_intervention,Intervention,Month,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,study,study_col,intervention_symbol,col_rel_prev_month,study_symb,reps,arm,intn_col,location,new_order,country
3,Curtis,None,CTN,2,-0.008393285,-0.008393285,-0.008393285,0.043786483,0.058716485,0.028769993,0.043049798,0.059032778,0.028145205,0.043753598,0.059509598,0.027585947,0.043515927,0.059741023,0.030133282,0.043806868,0.059749201,0.029098678,0.043199536,0.058705611,0.027753289,Curtis,darkred,1,grey,2,1,1,darkred,East,1,Tanzania
4,Curtis,None,CTN,5,0.071512309,0.071512309,0.071512309,0.055045085,0.07196621,0.039682838,0.055208067,0.07205405,0.038896143,0.055326951,0.071361754,0.03929929,0.054483622,0.071854446,0.039188113,0.055459915,0.072191747,0.03874179,0.054253722,0.070641342,0.039110638,Curtis,darkred,1,grey,2,1,1,darkred,East,2,Tanzania
5,Curtis,None,CTN,8,0.101591187,0.101591187,0.101591187,0.119916305,0.141553762,0.099065122,0.119741936,0.141591923,0.097968085,0.119524338,0.142428762,0.09852899,0.120033489,0.142497949,0.100174399,0.119258095,0.141526476,0.098024007,0.118339247,0.140616037,0.098290047,Curtis,darkred,1,lightgreen,2,1,1,darkred,East,3,Tanzania
6,Curtis,None,CTN,11,0.106666667,0.106666667,0.106666667,0.131970743,0.153529204,0.109204619,0.130940906,0.15315513,0.108091781,0.131455599,0.155671435,0.109353935,0.131756285,0.155070964,0.110077549,0.131874567,0.155353252,0.109705025,0.130363858,0.154388054,0.109384219,Curtis,darkred,1,lightgreen,2,1,1,darkred,East,4,Tanzania
16,Henry,None,CTN,48,0.173722628,0.226277372,0.121167883,0.420377584,0.386429638,0.45334191,0.419717656,0.383644506,0.450200952,0.419904798,0.38448636,0.452503427,0.419137376,0.386340407,0.454238237,0.420932627,0.384659196,0.450557384,0.420359016,0.383346798,0.451716471,Henry,orange,1,black,4,2,1,darkred,West,5,Cote D'Ivoire
19,Marbiah,None,CTN,15,0.275210084,0.275210084,0.275210084,0.20307416,0.177477563,0.228803056,0.202588335,0.1763545,0.230935487,0.190644014,0.164477683,0.218394196,0.175978252,0.149523691,0.203942744,0.18684105,0.162846065,0.213390684,0.161548488,0.135773344,0.189241747,Marbiah,darkgreen,17,darkblue,6,3,1,darkred,West,6,Sierre Leone
20,Philips-Howard,None,CTN,22,0.36770428,0.36770428,0.36770428,0.426589346,0.47889163,0.38196231,0.423769687,0.478411702,0.38086558,0.374189422,0.427721372,0.33203146,0.33106569,0.384544546,0.28866383,0.365588647,0.419521002,0.32368544,0.284397324,0.332103064,0.24478193,Philips-Howard,darkblue,19,darkblue,7,4,1,darkred,East,7,Kenya
21,Philips-Howard,None,CTN,40,0.135549872,0.135549872,0.135549872,0.177703004,0.29692944,0.07197609,0.17711911,0.293764534,0.07651023,0.149453455,0.253824899,0.05400479,0.121499273,0.221640477,0.03480889,0.141855683,0.2454903,0.05970352,0.1023847,0.192972651,0.03077066,Philips-Howard,darkblue,19,black,7,4,1,darkred,East,8,Kenya
47,Nevill,None,CTN,20,0.571428571,0.571428571,0.571428571,0.429584297,0.300307983,0.632385004,0.430023558,0.294559302,0.650924667,0.426358134,0.302275575,0.628801841,0.433850794,0.296817778,0.62239426,0.427178796,0.297896077,0.627813779,0.42843789,0.285876775,0.649646408,Nevill,black,1,darkblue,12,5,1,darkred,East,9,Kenya
48,Nevill,None,CTN,24,0.527559055,0.527559055,0.527559055,0.430167954,0.306751377,0.63826064,0.431055013,0.302516753,0.654254054,0.427485707,0.308446747,0.633117227,0.432967161,0.304045741,0.628182022,0.428259757,0.306759515,0.634570344,0.428632317,0.294176202,0.650464438,Nevill,black,1,darkblue,12,5,1,darkred,East,10,Kenya
