"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min"
"1","Corbel","ITN",0.2,0.24,0.16,0.2998775,0.321116475,0.275638375
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.8172585,0.806554025,0.8269844
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.8225015,0.8124424,0.83221595
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7507425,0.7370385,0.76510615
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.7990835,0.784370525,0.811694
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.7815005,0.768623775,0.79471365
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.776995,0.76380635,0.790177775
"8","Curtis","IRS",0.734,0.734,0.734,0.6610105,0.643815175,0.6767726
"9","Curtis","IRS",0.603,0.603,0.603,0.6940395,0.674689025,0.711700575
"10","Curtis","IRS",0.762,0.762,0.762,0.6375905,0.6211235,0.6547765
"11","Curtis","IRS",0.801,0.801,0.801,0.6102705,0.579108775,0.6410884
"12","Curtis","IRS",0.73,0.73,0.73,0.4804635,0.45033935,0.508007275
"13","Curtis","IRS",0.637,0.637,0.637,0.36606,0.3372858,0.3961293
"14","D'Alessandro","None",0.367,0.367,0.367,0.352652,0.36699725,0.336838625
"15","D'Alessandro","None",0.33,0.33,0.33,0.28834,0.3041936,0.2734356
"16","D'Alessandro","None",0.258,0.258,0.258,0.348847,0.3649805,0.332902525
"17","D'Alessandro","None",0.533,0.533,0.533,0.5503035,0.5668982,0.533596675
"18","D'Alessandro","None",0.447,0.447,0.447,0.6839985,0.6991159,0.667874675
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.2240205,0.240004675,0.20926395
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.1655525,0.1791257,0.1521636
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.1887775,0.20324115,0.1747199
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.447731,0.466771075,0.429698125
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.5975485,0.615121475,0.582127775
"24","Henry","None",0.685,0.721,0.649,0.7910555,0.803639625,0.778192625
"25","Henry","ITN",0.566,0.602,0.53,0.4588875,0.48690545,0.433100175
"26","Kafy","ITN",0.05,0.02,0.1,0.02783655,0.0372277575,0.01974885
"27","Kafy","ITN",0.05,0.03,0.09,0.0208028,0.029715385,0.0136890275
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.0291146,0.0391567575,0.0206742175
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.01312245,0.0202841125,0.00719230825
"30","Marbiah","None",0.476,0.476,0.476,0.5044955,0.5183465,0.489345075
"31","Marbiah","ITN",0.345,0.345,0.345,0.4083065,0.421293125,0.39410695
"32","Philips-Howard","None",0.514,0.514,0.514,0.694446,0.716627575,0.661568725
"33","Philips-Howard","None",0.391,0.391,0.391,0.3289575,0.359313375,0.2908355
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.310943,0.3394962,0.272835575
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.268706,0.296919475,0.23030055
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.434388,0.4626149,0.39634295
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.2797335,0.3101488,0.244636875
"38","Protopopoff","ITN",0.555,0.555,0.555,0.7072595,0.734663475,0.67017045
"39","Protopopoff","ITN",0.553,0.553,0.553,0.613293,0.643965525,0.571913925
"40","Protopopoff","ITN",0.53,0.53,0.53,0.77895,0.795372025,0.75458915
"41","Protopopoff","ITN",0.68,0.68,0.68,0.6758285,0.70049905,0.640913575
"42","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.61723,0.66386625,0.54738985
"43","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.520248,0.56809585,0.452355125
"44","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.7340365,0.7639167,0.68002225
"45","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.6195975,0.65641185,0.5551438
"46","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.5406295,0.56956415,0.50811805
"47","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.321855,0.35477025,0.288048975
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.7181785,0.74319465,0.687218275
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.6524205,0.678147,0.619589175
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.444901,0.49183655,0.36508855
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.241824,0.283405925,0.185959625
"52","Protopopoff","PBO_ITN_IRS",0.291,0.291,0.291,0.5978885,0.6628065,0.456210825
"53","Protopopoff","PBO_ITN_IRS",0.437,0.437,0.437,0.545636,0.60098515,0.438632025
"54","West","ITN",0.23,0.342,0.154,0.2757825,0.296521525,0.25073715
"55","West","ITN",0.3,0.434,0.202,0.30697,0.32724405,0.282412725
"56","West","ITN",0.24,0.389,0.142,0.2577525,0.275458675,0.235373575
"57","West","ITN_IRS",0.136,0.214,0.083,0.150657,0.170631925,0.13220415
"58","West","ITN_IRS",0.127,0.21,0.074,0.1222115,0.14192015,0.104816925
"59","West","ITN_IRS",0.134,0.234,0.073,0.1498715,0.172574625,0.12706445
"60","Chaccour","ITN",0.43,0.43,0.43,0.40147,0.4395423,0.33336115
"61","Chaccour","ITN_IRS",0.34,0.34,0.34,0.2303,0.280115425,0.149024925
"62","Staedke","ITN",0.145,0.145,0.145,0.167772,0.200189725,0.13243565
"63","Staedke","ITN",0.13,0.13,0.13,0.184561,0.222171125,0.1437601
"64","Staedke","ITN",0.14,0.14,0.14,0.2171405,0.255847625,0.174241525
"65","Staedke","PBO_ITN",0.107,0.107,0.107,0.1520835,0.181759825,0.12059765
"66","Staedke","PBO_ITN",0.106,0.106,0.106,0.157776,0.1903794,0.122240675
"67","Staedke","PBO_ITN",0.118,0.118,0.118,0.19434,0.230800525,0.1529031
"68","Nevill","None",0.392,0.392,0.392,0.40147,0.4395423,0.33336115
"69","Nevill","None",0.254,0.254,0.254,0.352103,0.3842608,0.2970225
"70","Nevill","None",0.115,0.115,0.115,0.262413,0.293207,0.21369825
"71","Nevill","ITN",0.168,0.168,0.168,0.2303,0.280115425,0.149024925
"72","Nevill","ITN",0.12,0.12,0.12,0.201584,0.243497975,0.129180525
"73","Nevill","ITN",0.078,0.078,0.078,0.147118,0.180872525,0.0915782925
"74","Bradley","ITN",0.168,0.247,0.111,0.1582135,0.1819323,0.129062625
"75","Bradley","ITN",0.232,0.323,0.16,0.1411335,0.164422275,0.117275425
