"","PI","Intervention","Prev_obs","prev_obs_max","prev_obs_min","Prev_model","prev_model_max","prev_model_min","intvn_colour","study_order","study_colour","study_symbol"
"1","Corbel","ITN",0.2,0.24,0.16,0.243344,0.265400125,0.2218905,"darkred",1,"purple",15
"2","Curtis","ITN_IRS",0.834,0.834,0.834,0.8172525,0.806218275,0.827488475,"aquamarine3",2,"darkred",1
"3","Curtis","ITN_IRS",0.853,0.853,0.853,0.8221645,0.81214395,0.832146725,"aquamarine3",2,"darkred",1
"4","Curtis","ITN_IRS",0.817,0.817,0.817,0.7512945,0.736449975,0.7649486,"aquamarine3",2,"darkred",1
"5","Curtis","ITN_IRS",0.675,0.675,0.675,0.7991725,0.78380115,0.81126735,"aquamarine3",2,"darkred",1
"6","Curtis","ITN_IRS",0.841,0.841,0.841,0.781689,0.768429,0.792626,"aquamarine3",2,"darkred",1
"7","Curtis","ITN_IRS",0.792,0.792,0.792,0.77737,0.763088325,0.789945425,"aquamarine3",2,"darkred",1
"8","Curtis","IRS",0.734,0.734,0.734,0.661114,0.644236575,0.676034025,"purple",2,"darkred",1
"9","Curtis","IRS",0.603,0.603,0.603,0.6938765,0.67524405,0.71120155,"purple",2,"darkred",1
"10","Curtis","IRS",0.762,0.762,0.762,0.638433,0.62188325,0.65542755,"purple",2,"darkred",1
"11","Curtis","IRS",0.801,0.801,0.801,0.6099635,0.5813918,0.64251295,"purple",2,"darkred",1
"12","Curtis","IRS",0.73,0.73,0.73,0.481191,0.4536111,0.510389875,"purple",2,"darkred",1
"13","Curtis","IRS",0.637,0.637,0.637,0.366405,0.337120975,0.394645125,"purple",2,"darkred",1
"14","D'Alessandro","None",0.367,0.367,0.367,0.37801,0.394613075,0.3611356,"grey",3,"red",1
"15","D'Alessandro","None",0.33,0.33,0.33,0.3144475,0.3297781,0.30019925,"grey",3,"red",1
"16","D'Alessandro","None",0.258,0.258,0.258,0.3846135,0.4021894,0.368757,"grey",3,"red",1
"17","D'Alessandro","None",0.533,0.533,0.533,0.5672985,0.583624,0.550245175,"grey",3,"red",1
"18","D'Alessandro","None",0.447,0.447,0.447,0.6969145,0.713088625,0.681979325,"grey",3,"red",1
"19","D'Alessandro","ITN",0.282,0.282,0.282,0.2365955,0.2522812,0.221210475,"darkred",3,"red",1
"20","D'Alessandro","ITN",0.228,0.228,0.228,0.175975,0.190349,0.1628517,"darkred",3,"red",1
"21","D'Alessandro","ITN",0.159,0.159,0.159,0.2022615,0.2172736,0.1879909,"darkred",3,"red",1
"22","D'Alessandro","ITN",0.431,0.431,0.431,0.4606455,0.478374375,0.441319175,"darkred",3,"red",1
"23","D'Alessandro","ITN",0.71,0.71,0.71,0.609503,0.62725065,0.59270805,"darkred",3,"red",1
"24","Henry","None",0.685,0.721,0.649,0.791237,0.804902275,0.778465575,"grey",4,"orange",1
"25","Henry","ITN",0.566,0.602,0.53,0.4596,0.485550175,0.4318269,"darkred",4,"orange",1
"26","Kafy","ITN",0.05,0.02,0.1,0.02794705,0.0372591525,0.0197868225,"darkred",5,"blue",19
"27","Kafy","ITN",0.05,0.03,0.09,0.0207046,0.0301518075,0.0130406925,"darkred",5,"blue",19
"28","Kafy","ITN_IRS",0.04,0.02,0.07,0.0287581,0.0390310275,0.0201461725,"aquamarine3",5,"blue",19
"29","Kafy","ITN_IRS",0.03,0.02,0.05,0.01300905,0.01984845,0.007394542,"aquamarine3",5,"blue",19
"30","Marbiah","None",0.476,0.476,0.476,0.504687,0.51864635,0.489033675,"grey",6,"darkgreen",17
"31","Marbiah","ITN",0.345,0.345,0.345,0.4157185,0.428917025,0.4014721,"darkred",6,"darkgreen",17
"32","Philips-Howard","None",0.514,0.514,0.514,0.695984,0.71763465,0.66335215,"grey",7,"darkblue",19
"33","Philips-Howard","None",0.391,0.391,0.391,0.3757255,0.404651625,0.33643505,"grey",7,"darkblue",19
"34","Philips-Howard","ITN",0.325,0.325,0.325,0.3564715,0.38556115,0.31570055,"darkred",7,"darkblue",19
"35","Philips-Howard","ITN",0.338,0.338,0.338,0.317275,0.34663095,0.280767475,"darkred",7,"darkblue",19
"36","Philips-Howard","ITN",0.325,0.325,0.325,0.4665015,0.494168525,0.42755975,"darkred",7,"darkblue",19
"37","Philips-Howard","ITN",0.338,0.338,0.338,0.328913,0.360972625,0.291099325,"darkred",7,"darkblue",19
"38","Protopopoff","ITN",0.555,0.555,0.555,0.6329795,0.669113825,0.58808675,"darkred",8,"green",8
"39","Protopopoff","ITN",0.553,0.553,0.553,0.497059,0.5369514,0.4489103,"darkred",8,"green",8
"40","Protopopoff","ITN",0.53,0.53,0.53,0.7277605,0.7536854,0.689670475,"darkred",8,"green",8
"41","Protopopoff","ITN",0.68,0.68,0.68,0.6110525,0.64361045,0.57032065,"darkred",8,"green",8
"42","Protopopoff","PBO_ITN",0.458,0.458,0.458,0.4643705,0.508918325,0.4062356,"blue",8,"green",8
"43","Protopopoff","PBO_ITN",0.311,0.311,0.311,0.321725,0.370311125,0.262568475,"blue",8,"green",8
"44","Protopopoff","PBO_ITN",0.348,0.348,0.348,0.61934,0.671390075,0.534157325,"blue",8,"green",8
"45","Protopopoff","PBO_ITN",0.459,0.459,0.459,0.517332,0.566746675,0.442232975,"blue",8,"green",8
"46","Protopopoff","ITN_IRS",0.386,0.386,0.386,0.489825,0.513718525,0.4635734,"aquamarine3",8,"green",8
"47","Protopopoff","ITN_IRS",0.264,0.264,0.264,0.269809,0.2959173,0.2454621,"aquamarine3",8,"green",8
"48","Protopopoff","ITN_IRS",0.399,0.399,0.399,0.65198,0.6871389,0.60778555,"aquamarine3",8,"green",8
"49","Protopopoff","ITN_IRS",0.551,0.551,0.551,0.589094,0.621869875,0.549296025,"aquamarine3",8,"green",8
"50","Protopopoff","PBO_ITN_IRS",0.375,0.375,0.375,0.38686,0.424739175,0.3198829,"orange",8,"green",8
"51","Protopopoff","PBO_ITN_IRS",0.286,0.286,0.286,0.1892805,0.2182657,0.151349775,"orange",8,"green",8
