PI,Intervention,intvn_order,prev_obs,prev_obs_max,prev_obs_min,intvn_colour,study_order,study_colour,study_symbol,time_months,location,baseline_prevalence,absolute_doff_MOD,absolute_doff_OBS,study,absolute_diff_OX_MOD,absolute_diff_OX_OBS
Curtis,None,1,0.834,0.834,0.834,grey,2,darkred,2,2,East,0.942,-0.002443,0.113,4,0.1297475,0.113
Curtis,None,1,0.853,0.853,0.853,grey,2,darkred,2,5,East,0.942,-0.007355,0.094,4,0.1248355,0.094
Curtis,None,1,0.817,0.817,0.817,grey,2,darkred,2,8,East,0.942,0.063515,0.13,4,0.1957055,0.13
Curtis,None,1,0.675,0.675,0.675,grey,2,darkred,2,11,East,0.942,0.015637,0.272,4,0.1478275,0.272
D'Alessandro,None,1,0.367,0.367,0.367,grey,3,red,3,1,West,0.395,0.0049275,0.028,5,0.01699,0.028
D'Alessandro,None,1,0.33,0.33,0.33,grey,3,red,3,1,West,0.287,0.005944,-0.043,5,-0.0274475,-0.043
D'Alessandro,None,1,0.258,0.258,0.258,grey,3,red,3,1,West,0.342,0.0067205,0.084,5,-0.0426135,0.084
D'Alessandro,None,1,0.533,0.533,0.533,grey,3,red,3,1,West,0.573,0.0020765,0.04,5,0.0057015,0.04
D'Alessandro,None,1,0.447,0.447,0.447,grey,3,red,3,1,West,0.712,0.0005895,0.265,5,0.0150855,0.265
Henry,None,1,0.685,0.721,0.649,grey,4,orange,4,48,West,0.84,-0.0008895,0.155,6,0.048763,0.155
Marbiah,None,1,0.476,0.476,0.476,grey,6,darkgreen,6,15,West,0.61,0.059500631,0.134,8,0.105674341,0.134
Nevill,None,1,0.392,0.392,0.392,grey,12,black,12,20,East,0.251,0.094547,-0.141,9,-0.150834,-0.141
Nevill,None,1,0.254,0.254,0.254,grey,12,black,12,24,East,0.251,0.14427,-0.003,9,-0.101111,-0.003
Nevill,None,1,0.115,0.115,0.115,grey,12,black,12,27,East,0.251,0.234137,0.136,9,-0.011244,0.136
Philips-Howard,None,1,0.514,0.514,0.514,grey,7,darkblue,7,22,East,0.75,0.021888785,0.236,10,0.055295376,0.236
Philips-Howard,None,1,0.391,0.391,0.391,grey,7,darkblue,7,40,East,0.75,0.342602578,0.359,10,0.376009169,0.359
Curtis,CTN,2,0.841,0.841,0.841,darkred,2,darkred,2,2,East,0.957,0.032559,0.116,4,0.175311,0.116
Curtis,CTN,2,0.792,0.792,0.792,darkred,2,darkred,2,5,East,0.957,0.036878,0.165,4,0.17963,0.165
Curtis,CTN,2,0.734,0.734,0.734,darkred,2,darkred,2,8,East,0.957,0.153134,0.223,4,0.295886,0.223
Curtis,CTN,2,0.603,0.603,0.603,darkred,2,darkred,2,11,East,0.957,0.1203715,0.354,4,0.2631235,0.354
Chaccour,ITN,3,0.43,0.43,0.43,red,10,grey,10,17,East,0.44,0.102553,0.01,2,0.038166,0.01
Corbel,ITN,3,0.2,0.24,0.16,red,1,red,1,1,West,0.301,0.057775976,0.101,3,0.057775976,0.101
D'Alessandro,CTN,2,0.282,0.282,0.282,red,3,red,3,1,West,0.395,0.146342,0.113,5,0.1584045,0.113
D'Alessandro,CTN,2,0.228,0.228,0.228,red,3,red,3,1,West,0.287,0.1444165,0.059,5,0.111025,0.059
D'Alessandro,CTN,2,0.159,0.159,0.159,red,3,red,3,1,West,0.342,0.1890725,0.183,5,0.1397385,0.183
D'Alessandro,CTN,2,0.431,0.431,0.431,red,3,red,3,1,West,0.573,0.1087295,0.142,5,0.1123545,0.142
D'Alessandro,CTN,2,0.71,0.71,0.71,red,3,red,3,1,West,0.712,0.088001,0.002,5,0.102497,0.002
Henry,CTN,2,0.566,0.602,0.53,red,4,orange,4,48,West,0.8,0.3486275,0.234,6,0.3404,0.234
Kafy,ITN,3,0.05,0.02,0.1,red,5,blue,5,21,,0.1,0.04278695,0.02,7,0.04205295,0.02
