PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
Curtis,None,0.942,0.942,0.942,0.114649682,0.114649682,0.114649682,0.132515924,0.144412288,0.122256714,0.132428344,0.144141959,0.121562128,0.132325902,0.144715419,0.121391587,0.132782909,0.143654273,0.122117489,0.13261465,0.144175053,0.122821815,0.132421975,0.143785536,0.12209724,orange,2,darkred,2,2,East,None,Tanzania,1
Curtis,None,0.942,0.942,0.942,0.09447983,0.09447983,0.09447983,0.126859342,0.137028291,0.116898461,0.127213907,0.137851433,0.116617065,0.126834395,0.137792569,0.116068312,0.127203822,0.138313508,0.116369268,0.126783439,0.137852521,0.116535218,0.126856157,0.137534607,0.116543577,orange,2,darkred,2,5,East,None,Tanzania,1
Curtis,None,0.942,0.942,0.942,0.132696391,0.132696391,0.132696391,0.202951699,0.219503185,0.188348832,0.202447452,0.218205971,0.187952654,0.20291879,0.218054087,0.188535165,0.203722399,0.220205228,0.187392649,0.202455945,0.220444825,0.18724448,0.203033439,0.21758121,0.187785403,orange,2,darkred,2,8,East,None,Tanzania,1
Curtis,None,0.942,0.942,0.942,0.28343949,0.28343949,0.28343949,0.151890127,0.167446921,0.138073859,0.15162155,0.167939331,0.138782006,0.151625796,0.167416906,0.137700584,0.152380573,0.168294958,0.13753198,0.151989384,0.168058307,0.138583785,0.15171603,0.167334899,0.138329087,orange,2,darkred,2,11,East,None,Tanzania,1
Henry,None,0.84,0.777,0.903,0.18452381,0.141666667,0.227380952,0.057478571,0.041825327,0.073218333,0.05805119,0.041783006,0.073255268,0.058100595,0.041265357,0.073021637,0.057642262,0.041120804,0.074386667,0.058349405,0.043696756,0.074544643,0.058267262,0.043286161,0.073580208,grey,4,orange,4,48,West,None,Cote D'Ivoire,2
Marbiah,None,0.61,0.61,0.61,0.219672131,0.219672131,0.219672131,0.172636885,0.15013791,0.198455328,0.172644262,0.149760082,0.198305451,0.172520492,0.150251639,0.198412541,0.172693443,0.149760082,0.198237705,0.172537705,0.150351598,0.198304385,0.172958197,0.150251639,0.197794959,grey,7,darkgreen,6,15,West,None,Sierre Leone,3
Philips-Howard,None,0.75,0.75,0.75,0.314666667,0.314666667,0.314666667,0.080226667,0.049440667,0.1244869,0.072021333,0.0431538,0.115530467,0.075134,0.0443003,0.120277567,0.068112,0.040152967,0.1085014,0.078750667,0.048365933,0.123896367,0.074072,0.044496567,0.117908367,grey,8,darkblue,7,22,East,None,Kenya,4
Philips-Howard,None,0.75,0.75,0.75,0.478666667,0.478666667,0.478666667,0.621506667,0.583790767,0.672065167,0.499032667,0.4604645,0.551419933,0.545110667,0.505001333,0.5946469,0.44379,0.4006809,0.494886733,0.617377333,0.5784569,0.667165333,0.56139,0.5209155,0.612219333,grey,8,darkblue,7,40,East,None,Kenya,4
Nevill,None,0.251,0.251,0.251,-0.561752988,-0.561752988,-0.561752988,-0.601474104,-0.745999203,-0.258856773,-0.600932271,-0.75394243,-0.286425697,-0.596334661,-0.747990438,-0.28197988,-0.598282869,-0.752225498,-0.266911155,-0.597135458,-0.749608964,-0.285527888,-0.599482072,-0.751164542,-0.328132072,grey,13,black,12,20,East,None,Kenya,5
Nevill,None,0.251,0.251,0.251,-0.011952191,-0.011952191,-0.011952191,-0.404051793,-0.518660757,-0.129841235,-0.402832669,-0.524915936,-0.15128247,-0.40063745,-0.524566135,-0.148856972,-0.402115538,-0.525737849,-0.128146414,-0.402729084,-0.527092231,-0.151992829,-0.402800797,-0.530919522,-0.183356574,grey,13,black,12,24,East,None,Kenya,5
