DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24950317,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.433352989
2,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243321975,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,3.98544886
3,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233412958,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.33906036
4,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213940976,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.960202145
5,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236529604,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,3.833682307
6,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238077901,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.78168857
7,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243650933,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.022416585
8,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242454326,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,3.93692926
9,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240028605,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,3.703144629
10,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244145849,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,3.281028621
11,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253351824,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.20023258
12,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21926207,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.659115971
13,0.71,0.05,0.24,0.2848001,0.002025422,-0.003186871,-0.1302014,-0.01791234,0.005253758,-0.03221488,0.0498,0.0102,0.0131,0,0.0246,0.0357,0,0.0246,0.0357,0,0.092,0.1786,0.2962,0.3729,0.4196,0.4196,0.4196,0.4196,0.4196,0.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238265468,3,2,10,0.1424563,0.409862,0.4350613,0.553015,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,4.626493336
