DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M,sites
1,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,375.3143874,1
2,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,351.5022264,1
3,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,337.9116127,1
4,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,332.4528324,1
5,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,356.7494709,1
6,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,336.0147914,1
7,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,362.1454264,1
8,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,358.982617,1
9,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,334.5779322,1
10,0.66,0,0.34,0.2854889,0.2685007,0.09308475,-0.05130384,0.06080074,-0.05664451,-0.007304213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504,0.0111,0.0153,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,3,0,5,0.2406391,0.04576095,0.3125,0.31185,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,340.8950425,1
