,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
1,2.012308499,-0.008879636,-2.197057718,0.008616593,-1.230944958,-0.008879636
2,2.064878141,-0.008818735,-2.240256583,0.008341648,-1.199043919,-0.008818735
3,1.984886675,-0.008992664,-2.214965923,0.008646222,-1.235654786,-0.008992664
4,2.032198768,-0.008706177,-2.221860943,0.008558081,-1.230499451,-0.008706177
5,2.019856719,-0.008801341,-2.217024916,0.008490254,-1.222413747,-0.008801341
6,2.018716818,-0.008829667,-2.215518758,0.008491131,-1.226263093,-0.008829667
7,1.99357796,-0.008954635,-2.241455573,0.00842196,-1.255713027,-0.008954635
8,2.008298397,-0.009152599,-2.204446972,0.008521211,-1.245955845,-0.009152599
9,2.007211486,-0.009073618,-2.217209089,0.008677713,-1.236234244,-0.009073618
10,2.032180292,-0.009008782,-2.17482393,0.008526884,-1.233354457,-0.009008782
11,2.006174054,-0.008882009,-2.201354768,0.008478065,-1.218902949,-0.008882009
12,2.044761982,-0.009003093,-2.211825455,0.008491341,-1.231547759,-0.009003093
13,2.05019032,-0.008789063,-2.260890684,0.008371892,-1.227274309,-0.008789063
14,2.018447572,-0.00870566,-2.233817361,0.008456241,-1.263962901,-0.00870566
15,2.021964855,-0.008705032,-2.217885957,0.008390532,-1.232836577,-0.008705032
16,2.005723772,-0.008760758,-2.206340931,0.008474942,-1.220888455,-0.008760758
17,2.047712758,-0.008681785,-2.220311275,0.008415359,-1.213014478,-0.008681785
18,2.006869055,-0.008761669,-2.232299936,0.008411768,-1.228615968,-0.008761669
19,2.029167976,-0.0089828,-2.219568589,0.00839056,-1.2204046,-0.0089828
20,2.033096529,-0.008826642,-2.187584137,0.008404944,-1.219960364,-0.008826642
21,2.04784487,-0.008938727,-2.21211801,0.008490635,-1.231456403,-0.008938727
22,2.011088212,-0.008829074,-2.201237936,0.008499499,-1.231055838,-0.008829074
23,2.034783388,-0.008805515,-2.233873031,0.008258811,-1.245751344,-0.008805515
24,2.040701206,-0.008982467,-2.226222779,0.008459139,-1.225849047,-0.008982467
25,2.012685978,-0.008801632,-2.238039001,0.008608988,-1.221777883,-0.008801632
26,2.063105587,-0.008913518,-2.212350542,0.008484062,-1.224028516,-0.008913518
27,2.003076122,-0.008952934,-2.232078472,0.008659291,-1.246630398,-0.008952934
28,2.043447023,-0.008822802,-2.224366355,0.008593634,-1.265796525,-0.008822802
29,2.015174336,-0.008764725,-2.222951705,0.008452311,-1.221619925,-0.008764725
30,2.043768434,-0.008815787,-2.198655148,0.008348887,-1.254196721,-0.008815787
31,2.050952326,-0.008979715,-2.21188004,0.008477691,-1.238347622,-0.008979715
32,2.044104632,-0.008909913,-2.188005934,0.00841703,-1.210275848,-0.008909913
33,2.002158956,-0.008936113,-2.21691634,0.008540547,-1.204005174,-0.008936113
34,2.022997773,-0.008829,-2.209862929,0.008395675,-1.233666911,-0.008829
35,2.032211136,-0.008916217,-2.214370883,0.008368548,-1.240813226,-0.008916217
36,2.049336425,-0.008978822,-2.23069968,0.008459705,-1.2272771,-0.008978822
37,2.048246091,-0.008927096,-2.194463498,0.008318139,-1.235284226,-0.008927096
38,2.043700576,-0.008835433,-2.217940041,0.008575961,-1.24721075,-0.008835433
39,1.992180861,-0.008873387,-2.23572801,0.008485947,-1.230377182,-0.008873387
40,2.010702475,-0.008903728,-2.227738305,0.008519891,-1.249473093,-0.008903728
41,2.022180404,-0.008916856,-2.22177551,0.008341342,-1.245633982,-0.008916856
42,2.034632068,-0.008933011,-2.229762365,0.00858034,-1.228460941,-0.008933011
43,2.009588129,-0.00874643,-2.205294977,0.00851278,-1.213033021,-0.00874643
44,2.05922309,-0.008900866,-2.210655545,0.008471439,-1.228837684,-0.008900866
45,2.023318723,-0.008839122,-2.22449687,0.008504826,-1.241048773,-0.008839122
46,2.045109258,-0.008891449,-2.257473766,0.008414187,-1.219678768,-0.008891449
47,2.048982224,-0.009019442,-2.201719094,0.008467652,-1.236589577,-0.009019442
48,2.008128469,-0.008785677,-2.249075285,0.008467625,-1.21376295,-0.008785677
49,2.01610328,-0.008859901,-2.233291155,0.008412024,-1.253915605,-0.008859901
50,1.987437211,-0.00903542,-2.211621309,0.008561334,-1.23462555,-0.00903542
51,2.048020403,-0.008854126,-2.216227049,0.008472054,-1.227969458,-0.008854126
52,2.02214728,-0.008805159,-2.211215443,0.00849505,-1.22178314,-0.008805159
53,2.039965882,-0.008796439,-2.241135227,0.008434803,-1.222839418,-0.008796439
54,2.025292867,-0.008882497,-2.22423323,0.008520549,-1.2278434,-0.008882497
55,2.016070781,-0.008867048,-2.248041829,0.008484723,-1.244385822,-0.008867048
56,2.026172559,-0.008802198,-2.240096054,0.008481699,-1.244993737,-0.008802198
57,1.999374777,-0.008926182,-2.185723622,0.008373819,-1.226362691,-0.008926182
58,1.988981087,-0.008940641,-2.223349452,0.008523696,-1.241252841,-0.008940641
59,1.973661952,-0.008936866,-2.227501742,0.008563212,-1.215208111,-0.008936866
60,2.020558741,-0.009034125,-2.209188474,0.008352622,-1.231940392,-0.009034125
61,2.024126412,-0.008876072,-2.23988138,0.008479948,-1.240899566,-0.008876072
62,2.022175661,-0.009008978,-2.218810349,0.008523509,-1.209813549,-0.009008978
63,2.02297026,-0.008749566,-2.245367879,0.008519,-1.246571983,-0.008749566
64,2.033744059,-0.008915454,-2.24375046,0.008448765,-1.212457503,-0.008915454
65,1.99463186,-0.008831746,-2.223518488,0.008442139,-1.244129592,-0.008831746
66,2.037354379,-0.008720027,-2.219535258,0.008461904,-1.248425148,-0.008720027
67,2.039996693,-0.008707644,-2.265359587,0.008560077,-1.250260142,-0.008707644
68,2.043552333,-0.008968239,-2.254598029,0.008430854,-1.238680929,-0.008968239
69,2.0148757,-0.008626061,-2.220944704,0.008458179,-1.242352985,-0.008626061
70,2.044897694,-0.008863385,-2.219931746,0.008496753,-1.206997099,-0.008863385
71,2.014884206,-0.008783739,-2.211501043,0.008292125,-1.265684605,-0.008783739
72,2.022829991,-0.008932658,-2.194184823,0.008467554,-1.234491665,-0.008932658
73,2.028350148,-0.008901887,-2.26219033,0.008490842,-1.24330059,-0.008901887
74,2.034639698,-0.008848829,-2.23206544,0.008298199,-1.242757684,-0.008848829
75,2.031406325,-0.008771902,-2.207954353,0.008506471,-1.229398166,-0.008771902
76,2.044673893,-0.008704371,-2.23512775,0.008588181,-1.222245019,-0.008704371
77,2.036010918,-0.008928239,-2.237535826,0.008636855,-1.218387772,-0.008928239
