,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
1,1.106593229,-0.022004284,-1.349725697,0.017700269,-1.648786236,-0.022004284
2,1.315899299,-0.027079762,-1.370966954,0.020337563,-1.711316563,-0.027079762
3,1.017307132,-0.022967867,-1.243202782,0.018925622,-1.728460164,-0.022967867
4,1.235358179,-0.020851216,-1.236094118,0.018602599,-1.609250628,-0.020851216
5,0.983031958,-0.027760142,-1.27328869,0.020299527,-1.795409316,-0.027760142
6,1.220907254,-0.02745212,-1.169720998,0.019979778,-1.662214032,-0.02745212
7,0.983799866,-0.02488683,-1.396883857,0.017720167,-1.726218487,-0.02488683
8,0.984847201,-0.0245133,-1.367245609,0.019571222,-1.684723448,-0.0245133
9,1.119624062,-0.025040559,-1.395474372,0.021283322,-1.688478625,-0.025040559
10,1.317018397,-0.027193482,-1.377649652,0.019171579,-1.652632203,-0.027193482
11,1.059726611,-0.024961764,-1.357669018,0.022677073,-1.682013359,-0.024961764
12,1.078967549,-0.0262605,-1.253666778,0.01736041,-1.671604308,-0.0262605
13,0.995188537,-0.023877906,-1.263958316,0.018832133,-1.611120895,-0.023877906
14,1.294427296,-0.023809592,-1.346672205,0.019810682,-1.788734345,-0.023809592
15,1.261101253,-0.02455001,-1.26310177,0.020571414,-1.655573767,-0.02455001
16,1.061432061,-0.024326535,-1.26975555,0.020849768,-1.768422772,-0.024326535
17,1.231207076,-0.026988758,-1.288622067,0.018620895,-1.702505975,-0.026988758
18,0.916520417,-0.026372447,-1.304709823,0.020391471,-1.615263908,-0.026372447
19,1.164405733,-0.022646194,-1.102299137,0.020748719,-1.710824712,-0.022646194
20,1.031434397,-0.025245606,-1.121710663,0.020452426,-1.708503203,-0.025245606
21,1.227267329,-0.023407128,-1.147046176,0.019567151,-1.695654962,-0.023407128
22,1.122275184,-0.023102523,-1.342917597,0.01946493,-1.840456786,-0.023102523
23,1.022642805,-0.025743049,-1.227280117,0.019375775,-1.710252504,-0.025743049
24,0.883263068,-0.026690953,-1.238877952,0.020855325,-1.7310061,-0.026690953
25,0.958315938,-0.023061903,-1.139657074,0.01881357,-1.724070912,-0.023061903
26,1.090747528,-0.024234339,-1.073235309,0.020178194,-1.672299403,-0.024234339
27,1.122024336,-0.025198032,-1.263469025,0.017351615,-1.684025847,-0.025198032
