bioassay_mortality_percentage,irs_mort_1,irs_mort_2,irs_succ_1,irs_succ_2,irs_det_1,irs_det_2
100,1.979499496,-0.013759594,-2.518935375,0.011598107,-2.651366024,-0.013759594
99,1.956725873,-0.01370589,-2.506253336,0.0115863,-2.650563794,-0.01370589
98,1.933641608,-0.013651454,-2.493237601,0.011574182,-2.649761145,-0.013651454
97,1.910246885,-0.013596286,-2.479881474,0.011561747,-2.648958075,-0.013596286
96,1.886542067,-0.013540387,-2.466178245,0.011548989,-2.648154586,-0.013540387
95,1.862527703,-0.013483757,-2.452121203,0.011535902,-2.647350676,-0.013483757
94,1.83820453,-0.0134264,-2.437703642,0.011522479,-2.646546347,-0.0134264
93,1.813573481,-0.013368316,-2.422918871,0.011508714,-2.645741597,-0.013368316
92,1.788635687,-0.013309509,-2.407760223,0.011494601,-2.644936427,-0.013309509
91,1.76339248,-0.013249982,-2.392221066,0.011480134,-2.644130836,-0.013249982
90,1.737845397,-0.013189738,-2.376294816,0.011465306,-2.643324825,-0.013189738
89,1.711996185,-0.013128782,-2.359974945,0.011450112,-2.642518393,-0.013128782
88,1.685846803,-0.013067118,-2.343254995,0.011434546,-2.64171154,-0.013067118
87,1.659399425,-0.013004751,-2.32612859,0.011418601,-2.640904266,-0.013004751
86,1.632656445,-0.012941687,-2.30858945,0.011402272,-2.640096572,-0.012941687
85,1.605620476,-0.012877933,-2.290631404,0.011385553,-2.639288456,-0.012877933
84,1.578294354,-0.012813494,-2.272248402,0.011368438,-2.638479919,-0.012813494
83,1.550681142,-0.012748378,-2.253434535,0.011350922,-2.637670961,-0.012748378
82,1.522784128,-0.012682592,-2.234184044,0.011332999,-2.636861581,-0.012682592
81,1.494606828,-0.012616146,-2.214491341,0.011314665,-2.63605178,-0.012616146
80,1.466152988,-0.012549048,-2.19435102,0.011295914,-2.635241557,-0.012549048
79,1.437426584,-0.012481307,-2.173757879,0.011276742,-2.634430912,-0.012481307
78,1.408431823,-0.012412933,-2.152706932,0.011257143,-2.633619846,-0.012412933
77,1.379173139,-0.012343937,-2.13119343,0.011237114,-2.632808357,-0.012343937
76,1.3496552,-0.012274329,-2.109212878,0.011216649,-2.631996447,-0.012274329
75,1.319882901,-0.012204122,-2.08676105,0.011195746,-2.631184114,-0.012204122
74,1.289861365,-0.012133326,-2.063834012,0.011174401,-2.630371359,-0.012133326
73,1.259595943,-0.012061956,-2.040428137,0.01115261,-2.629558182,-0.012061956
72,1.229092209,-0.011990024,-2.016540127,0.01113037,-2.628744582,-0.011990024
71,1.19835596,-0.011917543,-1.992167028,0.011107678,-2.627930559,-0.011917543
70,1.167393212,-0.011844529,-1.967306253,0.011084532,-2.627116114,-0.011844529
69,1.1362102,-0.011770995,-1.941955597,0.011060931,-2.626301246,-0.011770995
68,1.104813367,-0.011696956,-1.91611326,0.011036871,-2.625485956,-0.011696956
67,1.073209371,-0.011622429,-1.889777862,0.011012352,-2.624670242,-0.011622429
66,1.04140507,-0.01154743,-1.862948465,0.010987374,-2.623854105,-0.01154743
65,1.009407524,-0.011471975,-1.835624588,0.010961935,-2.623037545,-0.011471975
64,0.977223987,-0.011396082,-1.807806229,0.010936036,-2.622220561,-0.011396082
63,0.944861902,-0.011319767,-1.77949388,0.010909676,-2.621403155,-0.011319767
62,0.912328895,-0.01124305,-1.750688541,0.010882858,-2.620585324,-0.01124305
61,0.87963277,-0.011165948,-1.721391746,0.010855583,-2.61976707,-0.011165948
60,0.846781499,-0.011088479,-1.691605567,0.010827851,-2.618948393,-0.011088479
59,0.813783219,-0.011010665,-1.661332638,0.010799667,-2.618129291,-0.011010665
58,0.780646221,-0.010932523,-1.630576164,0.010771032,-2.617309766,-0.010932523
57,0.747378945,-0.010854074,-1.599339937,0.010741951,-2.616489816,-0.010854074
56,0.713989969,-0.010775338,-1.567628346,0.010712427,-2.615669443,-0.010775338
55,0.680488002,-0.010696335,-1.535446388,0.010682465,-2.614848645,-0.010696335
54,0.646881878,-0.010617087,-1.502799679,0.01065207,-2.614027423,-0.010617087
53,0.613180542,-0.010537614,-1.469694462,0.010621249,-2.613205776,-0.010537614
52,0.579393043,-0.010457938,-1.436137612,0.010590007,-2.612383705,-0.010457938
51,0.545528526,-0.010378081,-1.402136643,0.010558352,-2.611561209,-0.010378081
50,0.51159622,-0.010298064,-1.367699711,0.01052629,-2.610738289,-0.010298064
49,0.47760543,-0.010217908,-1.332835617,0.010493831,-2.609914943,-0.010217908
48,0.443565523,-0.010137637,-1.297553805,0.010460984,-2.609091173,-0.010137637
47,0.409485924,-0.010057273,-1.261864363,0.010427756,-2.608266978,-0.010057273
46,0.375376101,-0.009976837,-1.225778018,0.010394159,-2.607442357,-0.009976837
45,0.341245554,-0.009896352,-1.18930613,0.010360203,-2.606617312,-0.009896352
44,0.307103809,-0.009815841,-1.152460687,0.0103259,-2.60579184,-0.009815841
